nums_category_img,num_category_text,ratio
30,0,0.5
30,8,0.5
64,0,1.0
0,0,1.0
84,0,1.0
16,0,1.0
10,0,1.0
90,0,1.0
34,0,0.5
34,8,0.16666666666666666
34,6,0.16666666666666666
34,12,0.16666666666666666
47,0,0.625
47,9,0.375
55,0,0.9
55,9,0.1
62,0,1.0
9,0,1.0
15,0,1.0
49,0,0.92
49,8,0.04
49,9,0.04
18,0,1.0
20,0,1.0
40,0,0.8823529411764706
40,1,0.11764705882352941
88,0,1.0
81,0,0.03333333333333333
81,5,0.23333333333333334
81,15,0.23333333333333334
81,3,0.06666666666666667
81,7,0.016666666666666666
81,4,0.06666666666666667
81,18,0.11666666666666667
81,17,0.08333333333333333
81,1,0.03333333333333333
81,11,0.1
81,12,0.016666666666666666
78,0,0.5
78,17,0.5
12,0,1.0
31,0,1.0
79,0,1.0
8,0,0.5714285714285714
8,8,0.2857142857142857
8,4,0.14285714285714285
58,0,1.0
21,0,0.5
21,5,0.5
25,0,1.0
95,0,1.0
73,0,1.0
45,0,1.0
11,0,0.6
11,3,0.26666666666666666
11,15,0.13333333333333333
28,0,1.0
14,0,0.5555555555555556
14,3,0.2222222222222222
14,4,0.1111111111111111
14,8,0.1111111111111111
51,0,0.8461538461538461
51,1,0.07692307692307693
51,12,0.07692307692307693
3,1,0.38461538461538464
3,10,0.15384615384615385
3,6,0.07692307692307693
3,16,0.07692307692307693
3,12,0.15384615384615385
3,0,0.15384615384615385
87,13,1.0
99,1,0.3333333333333333
99,12,0.1111111111111111
99,11,0.1111111111111111
99,9,0.1111111111111111
99,10,0.2222222222222222
99,0,0.1111111111111111
63,1,0.2857142857142857
63,6,0.14285714285714285
63,0,0.07142857142857142
63,12,0.14285714285714285
63,13,0.07142857142857142
63,10,0.14285714285714285
63,9,0.07142857142857142
63,4,0.07142857142857142
92,9,1.0
32,6,0.16666666666666666
32,5,0.3333333333333333
32,11,0.3333333333333333
32,0,0.16666666666666666
83,10,0.07692307692307693
83,0,0.3076923076923077
83,8,0.38461538461538464
83,12,0.07692307692307693
83,9,0.15384615384615385
13,10,0.3333333333333333
13,16,0.16666666666666666
13,8,0.16666666666666666
13,12,0.16666666666666666
13,0,0.16666666666666666
38,3,0.5294117647058824
38,5,0.11764705882352941
38,7,0.0392156862745098
38,15,0.1568627450980392
38,1,0.0392156862745098
38,11,0.11764705882352941
97,3,0.6666666666666666
97,15,0.07407407407407407
97,5,0.2222222222222222
97,8,0.037037037037037035
61,3,1.0
98,3,0.6666666666666666
98,7,0.16666666666666666
98,1,0.16666666666666666
35,5,0.25
35,17,0.375
35,1,0.25
35,11,0.125
5,4,0.25
5,11,0.25
5,0,0.5
50,14,0.5
50,1,0.5
72,8,0.2
72,0,0.8
41,0,1.0
7,0,1.0
19,0,0.4375
19,4,0.125
19,16,0.0625
19,8,0.25
19,9,0.125
1,0,1.0
2,13,0.2
2,0,0.6
2,8,0.2
52,0,0.75
52,9,0.125
52,8,0.125
4,0,1.0
53,8,0.5
53,14,0.5
94,0,1.0
85,0,0.8
85,12,0.2
48,0,1.0
43,8,0.3333333333333333
43,10,0.3333333333333333
43,9,0.16666666666666666
43,0,0.16666666666666666
75,9,1.0
68,0,1.0
77,8,1.0
37,0,1.0
91,0,1.0
96,0,1.0
