word,count
灰暗,105
圍,102
徳,44
塚,32
桖,27
菓,23
东风,16
多岁,16
嘁,15
着实,14
鯊,14
吿,13
蚕丝被,13
全真,13
噔,13
开市,12
来聊,12
亚太,12
妺,12
别看,11
护膝,10
話梅,10
完条,10
足足,10
霜糖,10
满月,10
麦檬,10
肉燕,10
天秤,10
陀罗,9
犍,9
避不开,9
交手,9
黛珂,9
華人,9
三夜,9
取景器,9
五天,9
世上,8
过段时间,8
整出,8
大大小小,8
课余,8
去一趟,8
春雨,8
贫贱之交,8
跟我来,8
阴待,8
罐头,8
粉云,8
竹山,8
千与千寻,8
频频,8
公交车,8
佛教,8
集邮,8
外貿,8
璀玥,8
梗图,8
困难户,8
明兰,8
瑞拉,8
嬛,8
成精,8
伊肤泉,8
哐,8
女儿国,7
吴昕,7
执行力,7
嫚,7
熙,7
有家,7
憋,7
灰蒙蒙,7
木薯,7
小红书刷,7
五台山,7
双鱼,7
胖得,7
北疆,7
收下,7
芳华,7
两口,7
当爸,6
迷门,6
黄绮珊,6
瞿颖,6
影片,6
挑点,6
闲话,6
指责,6
凌渡,6
南非,6
终日,6
馁,6
上阵,6
老顽童,6
筒子,6
开走,6
垃,6
暴,6
千人同,6
哆嗦,6
搭小裙,6
顾青,6
裴,6
份儿,6
同道,6
宮脇咲,6
味万人,6
连随,6
死活,6
娘家,6
智雅,6
小率,6
戒糖,6
好能,6
存档,6
漳州,6
悠,6
一招,6
催命,6
双内,6
降雄,6
多公里,6
察觉,6
十周年,6
困住,6
鸢语,6
解法,6
荡秋千,6
犯错,6
出勤率,6
打了个,6
织趣,6
提早,6
不下雨,6
乙骨忧,6
日夜,6
龙葵,6
奇闻,6
失恋,6
茉初,6
蠻,6
刨冰,6
核桃,6
拍拍手,6
株洲,6
烤火,6
呐喊,6
天儿,6
洌,5
哥们,5
上百,5
景致,5
傩,5
海德,5
宿,5
发觉,5
困,5
急需,5
三刷,5
车水马龙,5
椿风,5
有多爽,5
下辈子,5
早上好,5
牛肉干,5
惊是,5
妹版,5
修狗们,5
三森,5
女主甜,5
份人设,5
电次,5
杯口,5
酷兒味,5
脱俗,5
有福气,5
总爱,5
管理者,5
得意忘形,5
雨崩,5
被动,5
钟,5
容容,5
变丑,5
企业家,5
秀一秀,5
进窗,5
人不骗,5
发展局,5
苹果酒,5
錾,5
些小,5
必迈,5
溏,5
心蛋,5
活元,5
痨,5
名义,5
五谷,5
厚道,5
海浪声,5
三福三福,5
愚蠢,5
供选,5
醪糟,5
告知,5
内陆,5
卓睿,5
感太强,5
更让人,5
陈勋,5
穹,5
吉他手,5
维也纳,5
日合辑,5
更何况,5
外星人,5
两日,5
三十多岁,5
有层,5
零百,5
唇漆,5
总有一天,5
地素,5
常在,5
下岁,5
有刷,5
这大,4
可怜,4
跶,4
還蠻,4
入超,4
第四件,4
恤配,4
孔雀,4
比比,4
万万岁,4
枉费,4
酷炫,4
龙凤胎,4
清风徐来,4
闽味,4
土耳其,4
臭干子,4
否极泰来,4
客好物,4
自知,4
咋啦,4
小帅哥,4
祝你开心,4
多万,4
妻感,4
赶,4
四平,4
柿柿,4
欲擒故纵,4
火鸡,4
很难说,4
拨,4
搜集,4
民福,4
尿,4
补品,4
子服,4
劳伦平,4
客必,4
最爱大胸,4
桂林,4
大福,4
汪汪,4
襪套,4
饭要,4
栅栏,4
爹地,4
粗现,4
全棉安,4
六年,4
自当强,4
眼花缭乱,4
粤语,4
动力学,4
热心,4
南洋,4
凝光,4
铝丝,4
自诩,4
鹅蛋,4
拜,4
我个,4
形影不离,4
很麻,4
超极,4
直视,4
奥体中心,4
祥龙馈,4
賊,4
很瓜,4
锵,4
录取,4
繁花似锦,4
倒春寒,4
骗子,4
太远,4
怒买,4
寥寥,4
成树,4
飞帆,4
人大,4
偷得浮生,4
飞鹤星,4
外地,4
回想起来,4
式微,4
迈过,4
馄炖,4
而川,4
调料,4
抬起,4
震,4
坦桑,4
王菲,4
疗愈场,4
月末,4
远山,4
恶作剧,4
四组,4
响应,4
很感兴趣,4
土狗,4
风象,4
该死,4
学识,4
好几套,4
深海鱼,4
融洽,4
啥时候,4
粗粝,4
好几条,4
山高路远,4
天生一对,4
淅淅沥沥,4
闲来无事,4
蓝恩,4
请个,4
心得体会,4
初履,4
芙莉莲,4
雨要,4
不肯,4
开学日,4
左转,4
人行,4
大爪,4
芙蓉,4
转折,4
韩系泰,4
做法,4
假哩,4
真相,4
显摆,4
人加,4
晶硕,4
幽默感,4
后裔,4
生去,4
大蒜,4
一连串,4
野炊,4
看不完,4
膘,4
小王子,4
手编,4
上化,4
检验,4
溪流,4
浅学,4
双香,4
敢不敢,4
包涵,4
噂,4
无情,4
李相夷,4
雅顿,4
节约,4
网吧,4
竞选,4
草纪,4
国展,4
一说,4
灰雾,4
粉胶,4
终究会,4
发扬光大,4
有多美,4
家门,4
孤单,4
行大运,4
凉飕飕,4
世理奈,4
佐丹奴,4
卡嚓,4
下蕉,4
半山腰,4
某人,4
衣来,4
确诊,4
少林拳,4
尊嘟超,4
全拿,4
见山见,4
别太美,4
优可舒,4
走掉,4
指甲刀,4
表参道,4
换新颜,4
寒山寺,4
主话,4
宁次,4
圆管,4
老布,4
撕乐,4
裤裆,4
天翻地覆,4
五毒,4
下五光,4
留住,4
尽怜,4
秾,4
植愈,4
老宋,4
团花,4
崇礼,4
失约,4
红榴初,4
飘花,4
国际化,4
某,4
长江,4
过次,3
第一贴,3
潮到,3
涩味,3
赛立,3
复力,3
冲满,3
及川彻,3
领假,3
冰皮显,3
汹涌,3
崎岖,3
甘露,3
杨枝,3
悠闲地,3
饮米,3
戳戳,3
起时,3
闷得,3
预感,3
挨打,3
咯好,3
改革,3
侵权,3
遗漆,3
买卖,3
环境影响,3
薯别,3
爱会,3
过客,3
顺产,3
千千结,3
柜,3
三潭印月,3
清冽,3
水见,3
电视节目,3
冰莓粉,3
不悟,3
终使,3
微弱,3
一封,3
六便士,3
敬请,3
灌输,3
伺候,3
正官,3
太像,3
扣紧,3
医诗,3
粗有,3
面要,3
赛事,3
地带,3
层楼,3
周遭,3
带件,3
帕尔马,3
吹冷气,3
能复,3
哈佛,3
凡圣,3
熨,3
无非,3
点去,3
乐旷,3
亦可,3
无缘无故,3
讨个,3
記錄,3
炸弹,3
催促,3
鬼迷,3
打喷嚏,3
颠奶,3
人流量,3
泰绝,3
无数张,3
沉甸甸,3
财运,3
难得一见,3
总感,3
系霸,3
适走,3
骷髅,3
领军人物,3
叽喝,3
孟佳,3
艾米,3
张籽,3
拉卡,3
交出,3
漂不,3
唯物主义者,3
随风而逝,3
真沙,3
消逝,3
之沙,3
护具,3
四胎,3
交上,3
展翼,3
捣蛋,3
未尽,3
抽空来,3
店有,3
名声,3
顶得住,3
症犯,3
迷死,3
没招,3
组有,3
不紧不慢,3
带灯,3
超久充,3
物乎,3
真的假,3
指甲剪,3
餐巾纸,3
衣架子,3
梳妆镜,3
睡午觉,3
能省,3
随到,3
剧吃,3
白脸,3
咖喱,3
节买,3
全麻,3
好省,3
坝,3
李子,3
焼,3
鳥金,3
好意思,3
雲樺,3
校庆,3
水果店,3
腹,3
人自,3
歉,3
买票,3
多小众,3
顶小众,3
过岁,3
一毛,3
伊达,3
先放,3
专营店,3
斜纹,3
蕖,3
东大街,3
障眼法,3
重新认识,3
服快,3
触碰,3
三颗,3
别打我,3
搭新,3
只取,3
服啦,3
羊肉,3
点前,3
涟,3
酣畅淋漓,3
素颜照,3
助力,3
讯号,3
台州,3
夹卷,3
强烈建议,3
电马,3
戴过,3
福特,3
我接,3
第期,3
四川人,3
大盘,3
摆尾,3
首富,3
大峡谷,3
偶得,3
信念,3
下一场,3
溺水,3
黄海,3
様,3
牵着,3
悠享,3
就会变,3
树外,3
尼尼,3
中国娃娃,3
