word,count,output_label
搭,171582,0
穿,162062,1
小红书,28693,0
搭配,23380,1
日常,20299,0
时尚,15991,1
分享,15086,0
连衣裙,13284,1
拍照,12862,0
显瘦,12656,1
复古,12585,1
每日,12007,0
微胖,11343,1
小个子,10964,0
女孩,9872,0
感,8750,1
女生,8314,0
短袖,8061,1
裙子,8051,1
气质,7339,1
夏天,7293,1
氛围,6873,1
推荐,6869,1
感穿,6815,1
发型,6630,1
韩系,6441,1
秋冬,6362,1
夏日,6144,1
夏季,6115,1
黑色,5960,1
休闲,5714,0
css,5653,0
少女,5530,1
高个子,5523,0
潮流,5503,1
灵感,5439,1
度假,5363,1
通勤,5313,1
新,5221,0
西装,5221,1
内衣,5165,1
喜欢,5103,0
香,5093,0
风,4981,1
好看,4948,0
裙,4941,1
适合,4804,0
时髦,4729,1
防晒,4617,1
保暖,4576,1
海边,4550,0
风格,4545,1
日系,4537,1
法式,4448,1
温柔,4439,1
身材,4432,1
春夏,4430,1
真的,4187,0
平价,4135,1
拍,3857,0
白色,3834,1
中式,3799,1
辣妹,3787,1
蓝色,3781,1
设计,3777,1
红色,3761,1
街头,3760,1
衬衫,3610,1
穿搭,3562,1
裤子,3553,1
今日,3464,0
梨形,3451,0
泳衣,3430,1
吊带,3415,1
大码,3391,1
运动,3377,0
烫发,3326,1
百搭,3316,1
简约,3289,1
姐妹,3227,0
鞋子,3195,1
学院,3194,0
舒适,3168,1
毛衣,3161,1
里,3049,0
薯,2932,0
美,2861,0
牛仔裤,2853,1
日杂,2852,0
妈妈,2842,0
饰品,2832,1
记录,2826,0
笔记,2819,0
甜妹,2779,1
羽绒服,2718,1
外套,2689,1
爱,2675,0
腿,2576,1
简单,2569,0
春天,2557,1
旅行,2541,1
高级,2538,0
生活,2538,0
早春,2528,1
视频,2494,0
尝试,2491,0
包包,2482,1
好物,2477,0
流行,2465,1
这套,2400,1
风穿,2374,1
项链,2322,1
套装,2305,1
美甲,2281,0
春季,2270,1
重样,2259,0
系穿,2250,1
冬季,2235,1
新中式,2223,1
大衣,2170,1
买,2153,0
北京,2143,0
旗袍,2110,1
香水,2105,0
职场,2021,1
合集,2003,0
大学生,1988,0
背心,1979,1
优雅,1940,1
中,1933,0
慵懒,1916,1
烫,1908,0
宝藏,1906,0
粉色,1868,1
可爱,1861,0
款,1838,1
购物,1830,1
卷发,1829,1
五一,1816,0
感觉,1815,1
胶片,1803,1
瘦,1797,1
叠,1776,0
鞋,1759,1
单品,1728,0
系,1726,1
姿势,1706,1
