poster_id,post_id,nums_category_img,post_date,post_like,post_collect
5a5e0afb11be1017b83be966,6612057b000000001a00ce44,9,04-07,188,55
5e60e721000000000100771f,6629f7cb0000000004018e7f,6,04-25,24,10
5bd97a789333970001407645,657da21b0000000007009a23,9,2023-12-16,667,348
617fb2900000000010007cda,64b9548c000000001201f3f4,8,2023-07-21,211,20
5f0e7aeb000000000101d59e,64970df600000000130348ee,4,2023-06-24,1167,695
58a1c839a9b2ed49d81f483b,65a604d40000000012009771,9,01-16,323,92
598f16d96a6a697233cf55b5,6603b4720000000012032bcc,7,03-28,750,476
5a5e0afb11be1017b83be966,65436cab000000001d016999,10,2023-11-02,319,46
5a5e0afb11be1017b83be966,6626499e0000000001006dd3,14,04-22,1167,267
5a5e0afb11be1017b83be966,6626499e0000000001006dd3,14,04-22,1167,267
5a5e0afb11be1017b83be966,6626499e0000000001006dd3,14,04-22,1167,267
592c72be50c4b47b345a70f0,6659543c0000000014018399,4,05-31,272,59
592c72be50c4b47b345a70f0,6659543c0000000014018399,4,05-31,272,59
61bc9352000000001000ec0d,6486997600000000110112d7,4,2023-06-12,6826,2953
57df3ffc50c4b44f636c3a3a,6541cde9000000000403afa9,2,2023-11-01,1063,461
5b7d32c3408dd0000133df33,664b0892000000001500a8d5,19,2024-05-20,162,26
5b7d32c3408dd0000133df33,664b0892000000001500a8d5,19,2024-05-20,162,26
5d975024000000000100966b,665406180000000014018480,19,2024-05-27,47,16
5bc7fce62d9b750001ac98e0,6544ccf4000000001e03d6c8,12,2023-11-10,3697,1023
5bc7fce62d9b750001ac98e0,64dc1649000000000c036ffe,12,2023-08-16,481,109
5bc7fce62d9b750001ac98e0,664e96070000000005007e3f,12,05-24,10,10
5bc7fce62d9b750001ac98e0,664e96070000000005007e3f,12,05-24,207,31
56e4273e1c07df0bc302b5c4,64ad102a000000001e011fb9,8,2023-07-11,81,29
5d440885000000001003fb73,660cd114000000001b00f5f5,4,04-03,426,201
5d440885000000001003fb73,660cd114000000001b00f5f5,4,2024-04-03,426,202
61eff0ac0000000010007090,65e824fb000000000600e2e3,17,03-14,10,10
57df3ffc50c4b44f636c3a3a,6528c225000000001c017db4,2,2023-10-13,931,503
57640f416a6a69300be41e31,6620e1a4000000000d030a9d,15,04-18,1756,534
5bc7fce62d9b750001ac98e0,66061303000000001203ca4c,4,03-29,160,14
617fb2900000000010007cda,659a16a4000000001200495a,8,01-07,10,10
5e1979350000000001000304,6652e89d0000000014018a76,7,05-26,283,36
5e1979350000000001000304,6652e89d0000000014018a76,7,05-26,283,36
56e4273e1c07df0bc302b5c4,64a67099000000001a013d4e,8,2023-07-06,1020,337
58ad83346a6a6968387219fc,66384bd9000000001e0214bb,10,05-06,1929,673
6213b096000000001000db1a,65ff97c70000000012023703,17,03-24,1000,10
5aa3c4b04eacab3f6561dd70,65ea7be80000000004000fc0,15,03-08,38,12
5e1979350000000001000304,65027d4c000000001e02f06b,10,2023-09-14,10,10
5bc7fce62d9b750001ac98e0,65ef9e47000000001203c472,12,03-12,233,41
5bc7fce62d9b750001ac98e0,65ef9e47000000001203c472,12,03-12,233,41
5870687f50c4b44ba361428b,654b24f5000000001e00c620,18,2023-11-08,162,35
