poster_id,post_id,nums_category_img,post_date,post_like,post_collect,count,total,proportion
5a5e0afb11be1017b83be966,6612057b000000001a00ce44,9,04-07,188,55,274.0,3936.0,0.0696138211382113
5e60e721000000000100771f,6629f7cb0000000004018e7f,6,04-25,24,10,248.0,3936.0,0.0630081300813008
617fb2900000000010007cda,64b9548c000000001201f3f4,8,07-21,211,20,84.0,1905.0,0.0440944881889763
5f0e7aeb000000000101d59e,64970df600000000130348ee,4,06-24,1167,695,114.0,1662.0,0.0685920577617328
58a1c839a9b2ed49d81f483b,65a604d40000000012009771,9,01-16,323,92,345.0,4745.0,0.0727081138040042
598f16d96a6a697233cf55b5,6603b4720000000012032bcc,7,03-28,750,476,405.0,8672.0,0.0467020295202952
5a5e0afb11be1017b83be966,6626499e0000000001006dd3,14,04-22,1167,267,187.0,3936.0,0.047510162601626
5a5e0afb11be1017b83be966,6626499e0000000001006dd3,14,04-22,1167,267,187.0,3936.0,0.047510162601626
5a5e0afb11be1017b83be966,6626499e0000000001006dd3,14,04-22,1167,267,187.0,3936.0,0.047510162601626
592c72be50c4b47b345a70f0,6659543c0000000014018399,4,05-31,272,59,103.0,1487.0,0.0692669804976462
592c72be50c4b47b345a70f0,6659543c0000000014018399,4,05-31,272,59,103.0,1487.0,0.0692669804976462
61bc9352000000001000ec0d,6486997600000000110112d7,4,06-12,6826,2953,114.0,1662.0,0.0685920577617328
5b7d32c3408dd0000133df33,664b0892000000001500a8d5,19,05-20,162,26,85.0,1487.0,0.0571620712844653
5b7d32c3408dd0000133df33,664b0892000000001500a8d5,19,05-20,162,26,85.0,1487.0,0.0571620712844653
5d975024000000000100966b,665406180000000014018480,19,05-27,47,16,85.0,1487.0,0.0571620712844653
5bc7fce62d9b750001ac98e0,64dc1649000000000c036ffe,12,08-16,481,109,122.0,2513.0,0.0485475527258257
5bc7fce62d9b750001ac98e0,664e96070000000005007e3f,12,05-24,10,10,55.0,1487.0,0.0369872225958305
5bc7fce62d9b750001ac98e0,664e96070000000005007e3f,12,05-24,207,31,55.0,1487.0,0.0369872225958305
56e4273e1c07df0bc302b5c4,64ad102a000000001e011fb9,8,07-11,81,29,84.0,1905.0,0.0440944881889763
5d440885000000001003fb73,660cd114000000001b00f5f5,4,04-03,426,201,300.0,3936.0,0.0762195121951219
5d440885000000001003fb73,660cd114000000001b00f5f5,4,04-03,426,202,300.0,3936.0,0.0762195121951219
61eff0ac0000000010007090,65e824fb000000000600e2e3,17,03-14,10,10,487.0,8672.0,0.0561577490774907
57640f416a6a69300be41e31,6620e1a4000000000d030a9d,15,04-18,1756,534,214.0,3936.0,0.0543699186991869
5bc7fce62d9b750001ac98e0,66061303000000001203ca4c,4,03-29,160,14,775.0,8672.0,0.0893680811808118
617fb2900000000010007cda,659a16a4000000001200495a,8,01-07,10,10,130.0,4745.0,0.0273972602739726
5e1979350000000001000304,6652e89d0000000014018a76,7,05-26,283,36,90.0,1487.0,0.0605245460659045
5e1979350000000001000304,6652e89d0000000014018a76,7,05-26,283,36,90.0,1487.0,0.0605245460659045
56e4273e1c07df0bc302b5c4,64a67099000000001a013d4e,8,07-06,1020,337,84.0,1905.0,0.0440944881889763
58ad83346a6a6968387219fc,66384bd9000000001e0214bb,10,05-06,1929,673,102.0,1487.0,0.0685944855413584
6213b096000000001000db1a,65ff97c70000000012023703,17,03-24,1000,10,487.0,8672.0,0.0561577490774907
5aa3c4b04eacab3f6561dd70,65ea7be80000000004000fc0,15,03-08,38,12,490.0,8672.0,0.0565036900369003
5e1979350000000001000304,65027d4c000000001e02f06b,10,09-14,10,10,153.0,3023.0,0.0506119748594111
5bc7fce62d9b750001ac98e0,65ef9e47000000001203c472,12,03-12,233,41,342.0,8672.0,0.0394372693726937
5bc7fce62d9b750001ac98e0,65ef9e47000000001203c472,12,03-12,233,41,342.0,8672.0,0.0394372693726937
5c17274b0000000005004762,662763420000000001006292,11,04-26,30,13,97.0,3936.0,0.0246443089430894
61f2192900000000100070b8,65f918cd0000000012021373,13,03-19,190,35,335.0,8672.0,0.038630073800738
5aa3c4b04eacab3f6561dd70,65fa5b4b00000000120227d2,14,03-20,144,58,460.0,8672.0,0.0530442804428044
572ca3265e87e77423f3ff48,65fb9cbd000000000d00efe5,15,03-21,34,11,490.0,8672.0,0.0565036900369003
59f19270e8ac2b54e5dd9446,661c6568000000001a014438,15,04-15,10,10,214.0,3936.0,0.0543699186991869
592c72be50c4b47b345a70f0,665af8ca00000000050075bb,1,06-01,220,63,19.0,1662.0,0.0114320096269554
592c72be50c4b47b345a70f0,665af8ca00000000050075bb,1,06-01,220,63,19.0,1662.0,0.0114320096269554
5f4c99eb0000000001005b17,664b191c0000000005007cf3,0,05-20,3090,2481,71.0,1487.0,0.0477471418964357
5f4c99eb0000000001005b17,664b191c0000000005007cf3,0,05-20,3070,2462,71.0,1487.0,0.0477471418964357
